Index: 118; Response Time:11.91526
Index: 10; Response Time:12.73535
Index: 184; Response Time:8.582321
Index: 31; Response Time:13.3602
Index: 44; Response Time:20.3728
Index: 154; Response Time:12.11093
Index: 165; Response Time:10.4303
Index: 38; Response Time:8.138702
Index: 191; Response Time:6.638336
Index: 157; Response Time:16.51282
Index: 6; Response Time:17.29062
Index: 151; Response Time:7.74929
Index: 61; Response Time:11.11089
Index: 19; Response Time:10.95725
Index: 182; Response Time:8.082062
Index: 166; Response Time:8.943817
Index: 180; Response Time:6.764282
Index: 90; Response Time:8.554337
Index: 178; Response Time:5.623596
Index: 17; Response Time:9.456879
Index: 181; Response Time:2.568024
Index: 187; Response Time:8.762371
Index: 122; Response Time:8.610855
Index: 196; Response Time:4.637375
Index: 162; Response Time:6.722061
Index: 47; Response Time:6.554718
Index: 53; Response Time:5.985992
Index: 192; Response Time:3.651619
Index: 79; Response Time:9.720436
Index: 190; Response Time:3.054367
Index: 183; Response Time:3.44455
Index: 198; Response Time:5.582153
Index: 174; Response Time:5.624084
Index: 58; Response Time:8.513428
Index: 111; Response Time:6.09774
Index: 93; Response Time:6.847031
Index: 35; Response Time:7.124039
Index: 164; Response Time:4.348328
Index: 185; Response Time:6.207977
Index: 33; Response Time:6.763596
Index: 48; Response Time:7.208359
Index: 143; Response Time:4.736923
Index: 161; Response Time:4.570557
Index: 97; Response Time:10.70703
Index: 176; Response Time:5.068207
Index: 172; Response Time:4.417114
