Index: 32; Response Time:20.10406
Index: 113; Response Time:23.15314
Index: 124; Response Time:4.98526
Index: 1; Response Time:7.999603
Index: 79; Response Time:16.09671
Index: 163; Response Time:11.0687
Index: 147; Response Time:11.72165
Index: 87; Response Time:11.80634
Index: 3; Response Time:6.957787
Index: 171; Response Time:10.42986
Index: 60; Response Time:10.52808
Index: 196; Response Time:5.931107
Index: 197; Response Time:5.304932
Index: 92; Response Time:5.751617
Index: 48; Response Time:11.41515
Index: 31; Response Time:7.527634
Index: 62; Response Time:4.068634
Index: 191; Response Time:7.624413
Index: 99; Response Time:9.13916
Index: 50; Response Time:4.415985
Index: 170; Response Time:8.331268
Index: 27; Response Time:7.458893
Index: 61; Response Time:8.415573
Index: 41; Response Time:8.526451
Index: 194; Response Time:7.457458
Index: 37; Response Time:6.20752
Index: 153; Response Time:4.623993
Index: 68; Response Time:5.069031
Index: 186; Response Time:4.901823
Index: 149; Response Time:7.791321
Index: 79; Response Time:10.47189
Index: 94; Response Time:6.916809
