Index: 190; Response Time:17.37418
Index: 172; Response Time:16.92996
Index: 196; Response Time:14.13708
Index: 33; Response Time:13.91791
Index: 32; Response Time:15.069
Index: 90; Response Time:7.638214
Index: 30; Response Time:17.8736
Index: 143; Response Time:14.17818
Index: 116; Response Time:8.110168
Index: 130; Response Time:14.37323
Index: 171; Response Time:16.31879
Index: 112; Response Time:15.66479
Index: 165; Response Time:14.09668
Index: 44; Response Time:12.63742
Index: 162; Response Time:17.4465
Index: 80; Response Time:16.09715
Index: 192; Response Time:16.23509
Index: 11; Response Time:17.20718
Index: 120; Response Time:9.055084
Index: 3; Response Time:8.247406
Index: 176; Response Time:7.707703
Index: 154; Response Time:19.59598
Index: 102; Response Time:9.80603
Index: 187; Response Time:10.0137
Index: 77; Response Time:10.50028
Index: 166; Response Time:17.04048
Index: 14; Response Time:11.1526
Index: 56; Response Time:15.54053
Index: 35; Response Time:7.249802
Index: 174; Response Time:16.4577
Index: 1; Response Time:8.609985
Index: 41; Response Time:12.7496
Index: 22; Response Time:8.95755
Index: 177; Response Time:11.90134
Index: 87; Response Time:12.86142
Index: 85; Response Time:18.8334
