Index: 197; Response Time:18.15233
Index: 170; Response Time:13.17986
Index: 38; Response Time:9.733917
Index: 158; Response Time:11.44482
Index: 152; Response Time:12.58325
Index: 127; Response Time:12.84612
Index: 60; Response Time:11.17958
Index: 126; Response Time:8.694336
Index: 37; Response Time:10.2215
Index: 191; Response Time:8.430054
Index: 53; Response Time:9.179749
Index: 69; Response Time:8.465012
Index: 68; Response Time:11.88805
Index: 27; Response Time:8.388641
Index: 72; Response Time:16.30551
Index: 200; Response Time:15.37408
Index: 17; Response Time:9.197266
Index: 177; Response Time:9.193909
Index: 171; Response Time:8.235504
Index: 55; Response Time:13.18065
Index: 159; Response Time:10.70761
Index: 132; Response Time:3.929825
Index: 39; Response Time:6.444275
Index: 82; Response Time:5.694122
Index: 32; Response Time:8.943878
Index: 125; Response Time:9.125656
Index: 102; Response Time:13.80672
Index: 62; Response Time:17.02875
Index: 4; Response Time:15.45684
Index: 169; Response Time:8.469467
Index: 116; Response Time:9.555634
Index: 77; Response Time:6.207153
Index: 110; Response Time:11.41507
