Index: 38; Response Time:11.27734
Index: 22; Response Time:9.833054
Index: 86; Response Time:10.44385
Index: 2; Response Time:18.8187
Index: 49; Response Time:12.90265
Index: 161; Response Time:5.916656
Index: 131; Response Time:10.65338
Index: 84; Response Time:18.34442
Index: 180; Response Time:15.41586
Index: 139; Response Time:14.45795
Index: 109; Response Time:11.90213
Index: 67; Response Time:7.694244
Index: 179; Response Time:9.445313
Index: 193; Response Time:37.23526
Index: 35; Response Time:8.638
Index: 93; Response Time:6.222473
Index: 166; Response Time:36.88797
Index: 175; Response Time:7.359596
Index: 44; Response Time:8.707886
Index: 160; Response Time:8.388245
Index: 71; Response Time:8.235718
Index: 32; Response Time:4.388031
Index: 56; Response Time:8.54126
Index: 65; Response Time:39.8577
Index: 121; Response Time:7.916748
Index: 149; Response Time:6.16597
Index: 79; Response Time:9.818298
Index: 137; Response Time:3.722229
Index: 92; Response Time:5.73407
Index: 75; Response Time:8.736237
Index: 176; Response Time:5.290222
Index: 7; Response Time:12.69397
Index: 41; Response Time:6.624359
Index: 102; Response Time:5.013245
Index: 143; Response Time:17.15134
Index: 196; Response Time:9.111473
Index: 28; Response Time:38.37363
Index: 61; Response Time:10.19344
Index: 11; Response Time:7.416138
Index: 185; Response Time:36.26196
Index: 53; Response Time:8.192566
Index: 188; Response Time:8.599823
Index: 171; Response Time:6.614075
Index: 106; Response Time:34.87521
Index: 115; Response Time:14.51295
Index: 158; Response Time:6.555557
Index: 116; Response Time:33.35971
Index: 48; Response Time:16.81911
Index: 130; Response Time:13.56799
Index: 156; Response Time:8.208313
