Index: 47; Response Time:22.2352
Index: 50; Response Time:14.98565
Index: 19; Response Time:7.736725
Index: 162; Response Time:13.51317
Index: 23; Response Time:7.210068
Index: 67; Response Time:22.51157
Index: 128; Response Time:9.263336
Index: 1; Response Time:11.9158
Index: 110; Response Time:16.15317
Index: 75; Response Time:9.901825
Index: 79; Response Time:20.05502
Index: 115; Response Time:10.05545
Index: 9; Response Time:12.12448
Index: 42; Response Time:17.99936
Index: 170; Response Time:8.707508
Index: 46; Response Time:5.290901
Index: 93; Response Time:9.332832
Index: 198; Response Time:17.88863
Index: 25; Response Time:16.23468
Index: 133; Response Time:11.6521
Index: 145; Response Time:18.52719
Index: 105; Response Time:7.749542
Index: 172; Response Time:15.23251
Index: 36; Response Time:6.16626
Index: 38; Response Time:8.221893
Index: 43; Response Time:6.817398
Index: 45; Response Time:11.61101
Index: 56; Response Time:5.403854
Index: 29; Response Time:3.99942
Index: 116; Response Time:7.901978
Index: 102; Response Time:8.401672
Index: 117; Response Time:7.430145
Index: 74; Response Time:10.01352
Index: 131; Response Time:7.095863
Index: 114; Response Time:17.04105
Index: 7; Response Time:10.15287
Index: 96; Response Time:6.306076
Index: 28; Response Time:4.472778
Index: 30; Response Time:8.623596
Index: 161; Response Time:4.91571
Index: 65; Response Time:10.41641
Index: 63; Response Time:10.55493
Index: 106; Response Time:5.499603
Index: 111; Response Time:3.721649
Index: 22; Response Time:4.805847
Index: 85; Response Time:8.707596
Index: 51; Response Time:19.66598
Index: 68; Response Time:6.165726
Index: 72; Response Time:7.568695
Index: 58; Response Time:9.360992
Index: 57; Response Time:15.15273
Index: 108; Response Time:5.707764
Index: 169; Response Time:6.986359
Index: 120; Response Time:18.26257
Index: 150; Response Time:6.739838
Index: 140; Response Time:36.77713
Index: 174; Response Time:20.48514
Index: 71; Response Time:5.196259
Index: 26; Response Time:4.443726
Index: 97; Response Time:7.652588
Index: 2; Response Time:5.819122
Index: 76; Response Time:36.48546
Index: 11; Response Time:8.052986
Index: 77; Response Time:8.152534
Index: 5; Response Time:13.48575
Index: 6; Response Time:2.47197
Index: 62; Response Time:31.05237
Index: 35; Response Time:11.11075
Index: 164; Response Time:38.34625
Index: 193; Response Time:17.52777
Index: 187; Response Time:5.165527
Index: 10; Response Time:13.66531
Index: 16; Response Time:8.999878
Index: 151; Response Time:6.721649
Index: 155; Response Time:33.81854
