Index: 96; Response Time:5.181042
Index: 74; Response Time:6.318092
Index: 137; Response Time:7.679092
Index: 101; Response Time:8.692751
Index: 16; Response Time:17.77983
Index: 121; Response Time:7.777969
Index: 26; Response Time:9.945724
Index: 50; Response Time:15.52481
Index: 128; Response Time:12.05478
Index: 95; Response Time:9.663727
Index: 51; Response Time:14.47098
Index: 2; Response Time:9.014648
Index: 39; Response Time:6.23624
Index: 27; Response Time:7.150047
Index: 76; Response Time:19.27945
Index: 10; Response Time:6.585236
Index: 99; Response Time:16.95614
Index: 138; Response Time:11.68004
Index: 115; Response Time:8.37513
Index: 112; Response Time:8.997688
Index: 38; Response Time:6.138767
Index: 117; Response Time:10.00065
