Index: 11; Response Time:10.38789
Index: 161; Response Time:7.611404
Index: 30; Response Time:9.985519
Index: 90; Response Time:11.76379
Index: 117; Response Time:11.8877
Index: 44; Response Time:9.486206
Index: 177; Response Time:10.37549
Index: 188; Response Time:8.94516
Index: 75; Response Time:11.46967
Index: 135; Response Time:10.05493
Index: 178; Response Time:13.05694
Index: 74; Response Time:10.23563
Index: 58; Response Time:12.37634
Index: 121; Response Time:10.97177
Index: 48; Response Time:11.27728
Index: 66; Response Time:6.388306
Index: 114; Response Time:10.00131
Index: 97; Response Time:14.25284
Index: 162; Response Time:11.91595
Index: 61; Response Time:5.749725
Index: 191; Response Time:10.75043
Index: 172; Response Time:14.63809
Index: 101; Response Time:11.52595
Index: 7; Response Time:11.0835
Index: 27; Response Time:10.91669
Index: 91; Response Time:7.361359
Index: 35; Response Time:7.763062
Index: 175; Response Time:11.04172
Index: 34; Response Time:10.7641
Index: 87; Response Time:7.944275
Index: 169; Response Time:11.76312
Index: 125; Response Time:10.16409
Index: 57; Response Time:26.06892
Index: 96; Response Time:13.40181
Index: 102; Response Time:6.014252
Index: 42; Response Time:8.054688
Index: 60; Response Time:5.541168
Index: 68; Response Time:13.9017
Index: 28; Response Time:5.457794
Index: 18; Response Time:7.375061
Index: 104; Response Time:10.51233
Index: 93; Response Time:10.83286
Index: 49; Response Time:9.332947
Index: 181; Response Time:11.44345
Index: 98; Response Time:10.97192
Index: 84; Response Time:9.847046
Index: 81; Response Time:11.10873
Index: 73; Response Time:7.818802
Index: 72; Response Time:9.291565
Index: 9; Response Time:7.124695
Index: 37; Response Time:6.721313
