Index: 21; Response Time:41.40176
Index: 118; Response Time:70.56778
Index: 127; Response Time:40.51263
Index: 169; Response Time:43.66495
Index: 24; Response Time:73.09348
Index: 99; Response Time:122.5802
Index: 51; Response Time:150.913
Index: 62; Response Time:67.9288
Index: 52; Response Time:102.9699
Index: 165; Response Time:63.86243
