Index: 117; Response Time:7.88765
Index: 94; Response Time:7.415573
Index: 147; Response Time:10.31926
Index: 63; Response Time:16.20673
Index: 176; Response Time:3.137863
Index: 177; Response Time:3.581802
Index: 28; Response Time:4.415466
Index: 179; Response Time:3.499786
Index: 190; Response Time:2.888519
Index: 170; Response Time:4.485291
Index: 157; Response Time:7.153015
Index: 164; Response Time:11.25
Index: 7; Response Time:5.817924
Index: 171; Response Time:9.569
Index: 46; Response Time:15.27719
Index: 192; Response Time:5.763123
Index: 49; Response Time:6.401031
Index: 9; Response Time:9.416229
Index: 97; Response Time:10.34604
Index: 134; Response Time:6.138794
Index: 193; Response Time:3.153076
Index: 173; Response Time:4.221703
Index: 160; Response Time:7.082901
Index: 67; Response Time:5.430054
Index: 174; Response Time:8.471252
Index: 175; Response Time:5.110474
Index: 64; Response Time:9.485535
Index: 15; Response Time:6.443512
Index: 165; Response Time:7.583862
Index: 122; Response Time:4.221466
Index: 195; Response Time:4.596771
Index: 79; Response Time:7.336243
Index: 100; Response Time:6.097565
Index: 14; Response Time:7.040955
Index: 184; Response Time:3.80389
Index: 130; Response Time:5.486267
Index: 188; Response Time:3.848648
Index: 185; Response Time:2.915527
Index: 172; Response Time:3.082047
Index: 5; Response Time:4.777634
Index: 109; Response Time:8.737106
Index: 155; Response Time:9.595459
Index: 151; Response Time:6.749054
Index: 37; Response Time:8.525604
Index: 146; Response Time:6.263367
Index: 143; Response Time:7.568848
Index: 68; Response Time:10.3042
Index: 85; Response Time:5.416603
Index: 90; Response Time:6.596527
Index: 166; Response Time:4.221313
Index: 145; Response Time:9.665344
Index: 182; Response Time:5.681213
Index: 196; Response Time:13.04214
Index: 162; Response Time:4.652344
Index: 22; Response Time:8.694183
